Nome,Número,Tipo,Latitude,Longitude,Altitude,Município,Início de funcionamento
Alcobaça / Estação Fruticultura Vieira Natividade,726,Estação Automática Climatológica (EMA II),39.54801111,-8.96931667,38,ALCOBAÇA,09-05-1996
Alcoutim - Martim Longo,865,Estação Automática Climatológica (EMA II),37.43756944,-7.76880556,290,ALCOUTIM,21-12-1999
Alcácer do Sal - Barrosinha,776,Estação Automática Climatológica (EMA II),38.36356389,-8.48157222,29,ALCÁCER DO SAL,15-05-1996
Aldeia Souto - Quinta Lageosa,690,Estação Automática Climatológica (EMA II),40.35425833,-7.38931111,468,COVILHÃ,21-01-2010
Aljezur,789,Estação Automática Climatológica (EMA II),37.32542778,-8.80180000,16,ALJEZUR,27-11-2001
Almada - Praia da Rainha,773,Estação Automática Climatológica (EMA II),38.61698056,-9.21286667,7,ALMADA,26-11-2001
Alvalade,783,Estação Automática Climatológica (EMA II),37.94680556,-8.39438611,61,SANTIAGO DO CACÉM,28-05-1997
Alvega,812,Estação Automática Climatológica (EMA II),39.46110278,-8.02697222,51,ABRANTES,30-07-1999
Amadora,935,Estação Automática Urbana (RUEMA),38.75757778,-9.24244167,143,AMADORA,01-01-2002
Amareleja,851,Estação Automática Climatológica (EMA II),38.20070000,-7.22609722,180,MOURA,20-02-2015
Anadia / Estação Vitivinícola da Bairrada,705,Estação Automática Climatológica (EMA II),40.43885833,-8.43994167,45,ANADIA,29-12-1999
Angra do Heroísmo / Observatório José Agostinho,511,Estação Automática Principal (EMA I),38.65992500,-27.22423889,90,ANGRA DO HEROÍSMO,13-03-2000
Ansião,716,Estação Automática Climatológica (EMA II),39.89765278,-8.41036111,405,ANSIÃO,15-10-1999
Arouca,669,Estação Automática Climatológica (EMA II),40.92694167,-8.26105278,270,AROUCA,18-11-2013
Aveiro / Universidade,702,Estação Automática Climatológica (EMA II),40.63540000,-8.65961111,5,AVEIRO,29-11-1996
Avis - Benavila,824,Estação Automática Climatológica (EMA II),39.10690000,-7.87766111,150,AVIS,09-12-1999
Barreiro,928,Estação Automática Urbana (RUEMA),38.65435000,-9.06719722,15,BARREIRO,01-01-2002
Barreiro - Lavradio,766,Estação Automática Climatológica (EMA II),38.67449167,-9.04762222,6,BARREIRO,05-11-1996
Beja,562,Estação Automática Principal (EMA I),38.02572778,-7.86731944,246,BEJA,01-01-1996
Bica da Cana,970,Estação Automática Climatológica (EMA II),32.75646944,-17.05768889,1560,Ponta do Sol,01-08-2010
Braga - Merelim,622,Estação Automática Climatológica (EMA II),41.57586944,-8.45110833,65,BRAGA,13-05-1996
Bragança,575,Estação Automática Principal (EMA I),41.80388333,-6.74283056,690,BRAGANÇA,01-01-1996
Cabeceiras de Basto,630,Estação Automática Climatológica (EMA II),41.48897222,-7.97955000,350,CABECEIRAS DE BASTO,24-11-1999
Cabo Carvoeiro / Farol,531,Estação Automática Principal (EMA I),39.36140833,-9.40698056,32,PENICHE,01-01-1996
Cabo da Roca,750,Estação Automática Climatológica (EMA II),38.78171111,-9.49753611,142,SINTRA,09-05-2012
Cabo Raso / Farol,765,Estação Automática Climatológica (EMA II),38.70903056,-9.48541667,9,CASCAIS,04-11-1996
Cabril - S. Lourenço,619,Estação Automática Climatológica (EMA II),41.70971667,-8.02698611,585,MONTALEGRE,13-05-1996
Caniçal - São Lourenço,978,Estação Automática Climatológica (EMA II),32.74843333,-16.70660556,133,Machico,10-07-2009
Carrazêda de Ansiães,644,Estação Automática Climatológica (EMA II),41.24295000,-7.29933333,715,CARRAZEDA DE ANSIÃES,21-12-2001
Castelo Branco,570,Estação Automática Principal (EMA I),39.83944444,-7.47869444,386,CASTELO BRANCO,01-01-1996
Castro Marim / Reserva Nacional do Sapal,867,Estação Automática Climatológica (EMA II),37.22951389,-7.42546111,5,CASTRO MARIM,23-09-1999
Castro Verde - Neves Corvo,864,Estação Automática Climatológica (EMA II),37.57650000,-7.97223056,225,CASTRO VERDE,28-05-1997
Chaves / Aeródromo,616,Estação Automática Climatológica (EMA II),41.72520000,-7.46541111,360,CHAVES,13-05-1996
Chão do Areeiro,973,Estação Automática Climatológica (EMA II),32.72207500,-16.91623333,1590,Funchal,15-03-2002
Coimbra - Bencanta,707,Estação Automática Climatológica (EMA II),40.21346944,-8.45515278,35,COIMBRA,17-06-2009
Coimbra / Aeródromo,548,Estação Automática Principal (EMA I),40.15760000,-8.46851667,171,COIMBRA,01-01-1996
Colares,747,Estação Automática Climatológica (EMA II),38.81257500,-9.46002500,25,SINTRA,13-02-2012
Coruche / Estação de Regadio (INIA),744,Estação Automática Climatológica (EMA II),38.94151944,-8.51325000,25,CORUCHE,07-11-1996
Corvo / Aeroporto,502,Estação Automática Principal (EMA I),39.67081111,-31.11264167,18,CORVO,11-05-2002
Covilhã,687,Estação Automática Climatológica (EMA II),40.26434722,-7.48220833,482,COVILHÃ,05-05-1999
Detetor ALV,537,Detetor Descargas Elétricas,38.8836,-9.0307527,65,Alverca . Aeródromo,01-06-2006
Detetor BRG,624,Detetor Descargas Elétricas,41.5864,-8.44518,138,BRAGA. Aeródromo - Palmeira,01-06-2006
Detetor CBR,570,Detetor Descargas Elétricas,39.8393,-7.4787,449,Castelo Branco. Centro Coordenador,01-06-2006
Detetor OLH,889,Detetor Descargas Elétricas,37.0305,-7.8174,79,Olhão. R. N. da Ria Formosa,01-06-2006
Dunas de Mira,704,Estação Automática Climatológica (EMA II),40.44595556,-8.76159722,14,MIRA,01-10-2009
Elvas / Est. Melhoramento Plantas,835,Estação Automática Climatológica (EMA II),38.88960000,-7.14083333,208,ELVAS,08-11-1996
Estremoz - Techocas,837,Estação Automática Climatológica (EMA II),38.86213333,-7.51275556,366,ESTREMOZ,12-01-1995
Faro / Aeroporto,554,Estação Automática Principal (EMA I),37.01657778,-7.97195278,8,FARO,01-01-1996
Figueira da Foz - Vila Verde,713,Estação Automática Climatológica (EMA II),40.13976389,-8.80594444,4,FIGUEIRA DA FOZ,22-10-1999
Figueira de Castelo Rodrigo - V.Torpim,671,Estação Automática Climatológica (EMA II),40.83029722,-6.94083056,635,FIGUEIRA DE CASTELO RODRIGO,15-06-1999
Flores / Aeroporto,501,Estação Automática Principal (EMA I),39.45730000,-31.13078611,28,SANTA CRUZ DAS FLORES,01-01-1996
Foía,790,Estação Automática Climatológica (EMA II),37.31430000,-8.59573333,902,MONCHIQUE,18-01-2011
Funchal,522,Radiosondagem,32.647525,-16.892483,58,Funchal. Observatório,-
Funchal - Lido,971,Estação Automática Urbana (RUEMA),32.63655000,-16.93559167,25,Funchal,01-01-2002
Funchal / Observatório,522,Estação Automática Principal (EMA I),32.64752500,-16.89248333,58,Funchal,01-01-1996
Fundão,698,Estação Automática Climatológica (EMA II),40.14063611,-7.50362778,493,FUNDÃO,21-01-2010
Gago Coutinho,579,Radiosondagem,38.7661833,-9.1284527,104,Lisboa - Gago Coutinho,-
Graciosa / Aeródromo,912,Estação Automática Principal (EMA I),39.09110000,-28.02920000,25,SANTA CRUZ DA GRACIOSA,08-05-2002
Guarda,683,Estação Automática Climatológica (EMA II),40.52855833,-7.27867500,1020,GUARDA,01-02-2000
Horta / Observatório Príncipe Alberto do Mónaco,506,Estação Automática Principal (EMA I),38.52977778,-28.62869167,60,HORTA,01-01-1996
Lajes. St. Rita,508,Radiosondagem,38.7677,-27.0855,112,Praia da Vitória,-
Lamas de Mouro,606,Estação Automática Climatológica (EMA II),42.04296667,-8.19874722,880,MELGAÇO,18-11-1999
Leiria / Aeródromo,718,Estação Automática Climatológica (EMA II),39.78055278,-8.82096667,45,LEIRIA,28-12-2007
Leiria / Cidade,916,Estação Automática Urbana (RUEMA),39.74434167,-8.80983889,42,LEIRIA,01-05-2005
Lisboa - Gago Coutinho,579,Estação Automática Principal (EMA I),38.76620278,-9.12749444,104,LISBOA,01-01-1996
Lisboa - Tapada da Ajuda,762,Estação Automática Climatológica (EMA II),38.70956111,-9.18282500,62,LISBOA,06-03-2009
Lisboa / Geofísico,535,Estação Automática Principal (EMA I),38.71907778,-9.14972222,77,LISBOA,12-07-1999
Lombo da Terça,980,Estação Automática Climatológica (EMA II),32.83145000,-17.20208611,931,Porto Moniz,11-07-2009
Lousã - Aeródromo,697,Estação Automática Climatológica (EMA II),40.14392500,-8.24418333,195,LOUSÃ,26-05-1997
Lugar de Baixo,986,Estação Automática Climatológica (EMA II),32.68122778,-17.09275000,40,Ponta do Sol,14-03-2002
Luzim,657,Estação Automática Climatológica (EMA II),41.14588611,-8.24895833,250,PENAFIEL,22-12-2009
Macedo de Cavaleiros - Izeda-Morais,633,Estação Automática Climatológica (EMA II),41.56765556,-6.78726389,702,MACEDO DE CAVALEIROS,07-12-1999
Miranda do Douro,635,Estação Automática Climatológica (EMA II),41.49882222,-6.27152500,693,MIRANDA DO DOURO,09-06-1999
Mirandela,632,Estação Automática Climatológica (EMA II),41.51478611,-7.19083889,250,MIRANDELA,23-07-1999
